"Label (Grouping)","Gini Index"
"Oklahoma City, OK Metro Area",""
"    Estimate","0.4646"
"Olean, NY Micro Area",""
"    Estimate","0.4413"
"Olympia-Lacey-Tumwater, WA Metro Area",""
"    Estimate","0.4066"
"Omaha-Council Bluffs, NE-IA Metro Area",""
"    Estimate","0.4549"
"Oneonta, NY Micro Area",""
"    Estimate","0.4540"
"Ontario, OR-ID Micro Area",""
"    Estimate","0.4342"
"Opelousas, LA Micro Area",""
"    Estimate","0.5008"
"Orangeburg, SC Micro Area",""
"    Estimate","0.4839"
"Orlando-Kissimmee-Sanford, FL Metro Area",""
"    Estimate","0.4649"
"Oshkosh-Neenah, WI Metro Area",""
"    Estimate","0.4217"
"Oskaloosa, IA Micro Area",""
"    Estimate","0.4256"
"Othello, WA Micro Area",""
"    Estimate","0.4405"
"Ottawa, IL Micro Area",""
"    Estimate","0.4316"
"Ottawa, KS Micro Area",""
"    Estimate","0.3897"
"Ottumwa, IA Micro Area",""
"    Estimate","0.4312"
"Owatonna, MN Micro Area",""
"    Estimate","0.4260"
"Owensboro, KY Metro Area",""
"    Estimate","0.4517"
"Oxford, MS Micro Area",""
"    Estimate","0.5244"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",""
"    Estimate","0.4497"
"Ozark, AL Micro Area",""
"    Estimate","0.4432"
"Paducah, KY-IL Micro Area",""
"    Estimate","0.4920"
"Pahrump, NV Micro Area",""
"    Estimate","0.4427"
"Palatka, FL Micro Area",""
"    Estimate","0.4799"
"Palestine, TX Micro Area",""
"    Estimate","0.4294"
"Palm Bay-Melbourne-Titusville, FL Metro Area",""
"    Estimate","0.4517"
"Pampa, TX Micro Area",""
"    Estimate","0.4852"
"Panama City, FL Metro Area",""
"    Estimate","0.4413"
"Paragould, AR Micro Area",""
"    Estimate","0.4283"
"Paris, TN Micro Area",""
"    Estimate","0.4540"
"Paris, TX Micro Area",""
"    Estimate","0.4589"
"Parkersburg-Vienna, WV Metro Area",""
"    Estimate","0.4545"
"Parsons, KS Micro Area",""
"    Estimate","0.4345"
"Payson, AZ Micro Area",""
"    Estimate","0.4389"
"Pearsall, TX Micro Area",""
"    Estimate","0.4720"
"Pecos, TX Micro Area",""
"    Estimate","0.4463"
"Pella, IA Micro Area",""
"    Estimate","0.4294"
"Pensacola-Ferry Pass-Brent, FL Metro Area",""
"    Estimate","0.4439"
"Peoria, IL Metro Area",""
"    Estimate","0.4579"
"Peru, IN Micro Area",""
"    Estimate","0.4178"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",""
"    Estimate","0.4828"
"Phoenix-Mesa-Chandler, AZ Metro Area",""
"    Estimate","0.4534"
"Picayune, MS Micro Area",""
"    Estimate","0.4413"
"Pierre, SD Micro Area",""
"    Estimate","0.3958"
"Pine Bluff, AR Metro Area",""
"    Estimate","0.4677"
"Pinehurst-Southern Pines, NC Micro Area",""
"    Estimate","0.4474"
"Pittsburg, KS Micro Area",""
"    Estimate","0.4656"
"Pittsburgh, PA Metro Area",""
"    Estimate","0.4707"
"Pittsfield, MA Metro Area",""
"    Estimate","0.4910"
"Plainview, TX Micro Area",""
"    Estimate","0.4464"
"Platteville, WI Micro Area",""
"    Estimate","0.4272"
"Plattsburgh, NY Micro Area",""
"    Estimate","0.4372"
"Plymouth, IN Micro Area",""
"    Estimate","0.4265"
"Pocatello, ID Metro Area",""
"    Estimate","0.4279"
"Point Pleasant, WV-OH Micro Area",""
"    Estimate","0.4722"
"Ponca City, OK Micro Area",""
"    Estimate","0.4568"
"Ponce, PR Metro Area",""
"    Estimate","0.5453"
"Pontiac, IL Micro Area",""
"    Estimate","0.4162"
"Poplar Bluff, MO Micro Area",""
"    Estimate","0.4565"
"Portales, NM Micro Area",""
"    Estimate","0.4273"
"Port Angeles, WA Micro Area",""
"    Estimate","0.4408"
"Portland-South Portland, ME Metro Area",""
"    Estimate","0.4490"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",""
"    Estimate","0.4491"
"Port Lavaca, TX Micro Area",""
"    Estimate","0.4133"
"Port St. Lucie, FL Metro Area",""
"    Estimate","0.4745"
"Portsmouth, OH Micro Area",""
"    Estimate","0.4695"
"Pottsville, PA Micro Area",""
"    Estimate","0.4284"
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",""
"    Estimate","0.4559"
"Prescott Valley-Prescott, AZ Metro Area",""
"    Estimate","0.4482"
"Price, UT Micro Area",""
"    Estimate","0.4233"
"Prineville, OR Micro Area",""
"    Estimate","0.4092"
"Providence-Warwick, RI-MA Metro Area",""
"    Estimate","0.4605"
"Provo-Orem, UT Metro Area",""
"    Estimate","0.4208"
"Pueblo, CO Metro Area",""
"    Estimate","0.4534"
"Pullman, WA Micro Area",""
"    Estimate","0.5276"
"Punta Gorda, FL Metro Area",""
"    Estimate","0.4506"
"Quincy, IL-MO Micro Area",""
"    Estimate","0.4386"
"Racine, WI Metro Area",""
"    Estimate","0.4345"
"Raleigh-Cary, NC Metro Area",""
"    Estimate","0.4501"
"Rapid City, SD Metro Area",""
"    Estimate","0.4528"
"Raymondville, TX Micro Area",""
"    Estimate","0.4728"
"Reading, PA Metro Area",""
"    Estimate","0.4452"
"Red Bluff, CA Micro Area",""
"    Estimate","0.5057"
"Redding, CA Metro Area",""
"    Estimate","0.4601"
"Red Wing, MN Micro Area",""
"    Estimate","0.4212"
"Reno, NV Metro Area",""
"    Estimate","0.4656"
"Rexburg, ID Micro Area",""
"    Estimate","0.4845"
"Richmond, IN Micro Area",""
"    Estimate","0.4477"
"Richmond, VA Metro Area",""
"    Estimate","0.4606"
"Richmond-Berea, KY Micro Area",""
"    Estimate","0.4543"
"Rio Grande City-Roma, TX Micro Area",""
"    Estimate","0.5148"
"Riverside-San Bernardino-Ontario, CA Metro Area",""
"    Estimate","0.4444"
"Riverton, WY Micro Area",""
"    Estimate","0.4245"
"Roanoke, VA Metro Area",""
"    Estimate","0.4685"
"Roanoke Rapids, NC Micro Area",""
"    Estimate","0.4933"
"Rochelle, IL Micro Area",""
"    Estimate","0.4038"
"Rochester, MN Metro Area",""
"    Estimate","0.4462"
"Rochester, NY Metro Area",""
"    Estimate","0.4577"
"Rockford, IL Metro Area",""
"    Estimate","0.4493"
"Rockingham, NC Micro Area",""
"    Estimate","0.4699"
"Rockport, TX Micro Area",""
"    Estimate","0.5130"
"Rock Springs, WY Micro Area",""
"    Estimate","0.4433"
"Rocky Mount, NC Metro Area",""
"    Estimate","0.4584"
"Rolla, MO Micro Area",""
"    Estimate","0.4698"
"Rome, GA Metro Area",""
"    Estimate","0.4678"
"Roseburg, OR Micro Area",""
"    Estimate","0.4370"
"Roswell, NM Micro Area",""
"    Estimate","0.4734"
"Ruidoso, NM Micro Area",""
"    Estimate","0.4882"
"Russellville, AR Micro Area",""
"    Estimate","0.4558"
"Ruston, LA Micro Area",""
"    Estimate","0.5244"
"Rutland, VT Micro Area",""
"    Estimate","0.4566"
"Sacramento-Roseville-Folsom, CA Metro Area",""
"    Estimate","0.4556"
"Safford, AZ Micro Area",""
"    Estimate","0.4057"
"Saginaw, MI Metro Area",""
"    Estimate","0.4747"
"St. Cloud, MN Metro Area",""
"    Estimate","0.4237"
"St. George, UT Metro Area",""
"    Estimate","0.4464"
"St. Joseph, MO-KS Metro Area",""
"    Estimate","0.4539"
"St. Louis, MO-IL Metro Area",""
"    Estimate","0.4661"
"St. Marys, GA Micro Area",""
"    Estimate","0.4167"
"St. Marys, PA Micro Area",""
"    Estimate","0.4230"
"Salem, OH Micro Area",""
"    Estimate","0.4386"
"Salem, OR Metro Area",""
"    Estimate","0.4371"
"Salina, KS Micro Area",""
"    Estimate","0.4331"
"Salinas, CA Metro Area",""
"    Estimate","0.4596"
"Salisbury, MD-DE Metro Area",""
"    Estimate","0.4627"
"Salt Lake City, UT Metro Area",""
"    Estimate","0.4273"
"San Angelo, TX Metro Area",""
"    Estimate","0.4466"
"San Antonio-New Braunfels, TX Metro Area",""
"    Estimate","0.4600"
"San Diego-Chula Vista-Carlsbad, CA Metro Area",""
"    Estimate","0.4602"
"Sandpoint, ID Micro Area",""
"    Estimate","0.4542"
"Sandusky, OH Micro Area",""
"    Estimate","0.4646"
"Sanford, NC Micro Area",""
"    Estimate","0.4309"
"San Francisco-Oakland-Berkeley, CA Metro Area",""
"    Estimate","0.4913"
"San Germán, PR Metro Area",""
"    Estimate","0.5178"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",""
"    Estimate","0.4743"
"San Juan-Bayamón-Caguas, PR Metro Area",""
"    Estimate","0.5442"
"San Luis Obispo-Paso Robles, CA Metro Area",""
"    Estimate","0.4724"
"Santa Cruz-Watsonville, CA Metro Area",""
"    Estimate","0.4818"
"Santa Fe, NM Metro Area",""
"    Estimate","0.4861"
"Santa Isabel, PR Micro Area",""
"    Estimate","0.5168"
"Santa Maria-Santa Barbara, CA Metro Area",""
"    Estimate","0.4886"
"Santa Rosa-Petaluma, CA Metro Area",""
"    Estimate","0.4588"
"Sault Ste. Marie, MI Micro Area",""
"    Estimate","0.4823"
"Savannah, GA Metro Area",""
"    Estimate","0.4636"
"Sayre, PA Micro Area",""
"    Estimate","0.4245"
"Scottsbluff, NE Micro Area",""
"    Estimate","0.4354"
"Scottsboro, AL Micro Area",""
"    Estimate","0.4574"
"Scottsburg, IN Micro Area",""
"    Estimate","0.4192"
"Scranton--Wilkes-Barre, PA Metro Area",""
"    Estimate","0.4529"
"Searcy, AR Micro Area",""
"    Estimate","0.4621"
"Seattle-Tacoma-Bellevue, WA Metro Area",""
"    Estimate","0.4620"
"Sebastian-Vero Beach, FL Metro Area",""
"    Estimate","0.5066"
"Sebring-Avon Park, FL Metro Area",""
"    Estimate","0.4603"
"Sedalia, MO Micro Area",""
"    Estimate","0.4510"
"Selinsgrove, PA Micro Area",""
"    Estimate","0.4234"
"Selma, AL Micro Area",""
"    Estimate","0.4894"
"Seneca, SC Micro Area",""
"    Estimate","0.4909"
"Seneca Falls, NY Micro Area",""
"    Estimate","0.4597"
"Sevierville, TN Micro Area",""
"    Estimate","0.4460"
"Seymour, IN Micro Area",""
"    Estimate","0.4153"
"Shawano, WI Micro Area",""
"    Estimate","0.4289"
"Shawnee, OK Micro Area",""
"    Estimate","0.4464"
"Sheboygan, WI Metro Area",""
"    Estimate","0.4071"
"Shelby, NC Micro Area",""
"    Estimate","0.4637"
"Shelbyville, TN Micro Area",""
"    Estimate","0.4150"
"Shelton, WA Micro Area",""
"    Estimate","0.4180"
"Sheridan, WY Micro Area",""
"    Estimate","0.4390"
"Sherman-Denison, TX Metro Area",""
"    Estimate","0.4466"
"Show Low, AZ Micro Area",""
"    Estimate","0.4536"
"Shreveport-Bossier City, LA Metro Area",""
"    Estimate","0.5021"
"Sidney, OH Micro Area",""
"    Estimate","0.4000"
"Sierra Vista-Douglas, AZ Metro Area",""
"    Estimate","0.4384"
"Sikeston, MO Micro Area",""
"    Estimate","0.4731"
"Silver City, NM Micro Area",""
"    Estimate","0.4864"
"Sioux City, IA-NE-SD Metro Area",""
"    Estimate","0.4379"
"Sioux Falls, SD Metro Area",""
"    Estimate","0.4290"
"Snyder, TX Micro Area",""
"    Estimate","0.4213"
"Somerset, KY Micro Area",""
"    Estimate","0.5008"
"Somerset, PA Micro Area",""
"    Estimate","0.4306"
"Sonora, CA Micro Area",""
"    Estimate","0.4533"
"South Bend-Mishawaka, IN-MI Metro Area",""
"    Estimate","0.4709"
"Spartanburg, SC Metro Area",""
"    Estimate","0.4505"
"Spearfish, SD Micro Area",""
"    Estimate","0.4716"
"Spencer, IA Micro Area",""
"    Estimate","0.4236"
"Spirit Lake, IA Micro Area",""
"    Estimate","0.4414"
"Spokane-Spokane Valley, WA Metro Area",""
"    Estimate","0.4518"
"Springfield, IL Metro Area",""
"    Estimate","0.4562"
"Springfield, MA Metro Area",""
"    Estimate","0.4666"
"Springfield, MO Metro Area",""
"    Estimate","0.4595"
"Springfield, OH Metro Area",""
"    Estimate","0.4225"
"Starkville, MS Micro Area",""
"    Estimate","0.5282"
"State College, PA Metro Area",""
"    Estimate","0.4775"
"Statesboro, GA Micro Area",""
"    Estimate","0.4823"
"Staunton, VA Metro Area",""
"    Estimate","0.4229"
"Steamboat Springs, CO Micro Area",""
"    Estimate","0.4685"
"Stephenville, TX Micro Area",""
"    Estimate","0.4883"
"Sterling, CO Micro Area",""
"    Estimate","0.4181"
"Sterling, IL Micro Area",""
"    Estimate","0.4441"
"Stevens Point, WI Micro Area",""
"    Estimate","0.4166"
"Stillwater, OK Micro Area",""
"    Estimate","0.4912"
"Stockton, CA Metro Area",""
"    Estimate","0.4434"
"Storm Lake, IA Micro Area",""
"    Estimate","0.4165"
"Sturgis, MI Micro Area",""
"    Estimate","0.4090"
"Sulphur Springs, TX Micro Area",""
"    Estimate","0.4616"
"Summerville, GA Micro Area",""
"    Estimate","0.4250"
"Sumter, SC Metro Area",""
"    Estimate","0.4623"
"Sunbury, PA Micro Area",""
"    Estimate","0.4345"
"Susanville, CA Micro Area",""
"    Estimate","0.4179"
"Sweetwater, TX Micro Area",""
"    Estimate","0.5192"
"Syracuse, NY Metro Area",""
"    Estimate","0.4590"
"Tahlequah, OK Micro Area",""
"    Estimate","0.4719"
"Talladega-Sylacauga, AL Micro Area",""
"    Estimate","0.4797"
"Tallahassee, FL Metro Area",""
"    Estimate","0.4962"
"Tampa-St. Petersburg-Clearwater, FL Metro Area",""
"    Estimate","0.4787"
"Taos, NM Micro Area",""
"    Estimate","0.5080"
"Taylorville, IL Micro Area",""
"    Estimate","0.4327"
"Terre Haute, IN Metro Area",""
"    Estimate","0.4530"
"Texarkana, TX-AR Metro Area",""
"    Estimate","0.4824"
"The Dalles, OR Micro Area",""
"    Estimate","0.4830"
"The Villages, FL Metro Area",""
"    Estimate","0.4227"
"Thomaston, GA Micro Area",""
"    Estimate","0.4942"
"Thomasville, GA Micro Area",""
"    Estimate","0.4713"
"Tiffin, OH Micro Area",""
"    Estimate","0.4261"
"Tifton, GA Micro Area",""
"    Estimate","0.4646"
"Toccoa, GA Micro Area",""
"    Estimate","0.4297"
"Toledo, OH Metro Area",""
"    Estimate","0.4763"
"Topeka, KS Metro Area",""
"    Estimate","0.4382"
"Torrington, CT Micro Area",""
"    Estimate","0.4654"
"Traverse City, MI Micro Area",""
"    Estimate","0.4454"
"Trenton-Princeton, NJ Metro Area",""
"    Estimate","0.5015"
"Troy, AL Micro Area",""
"    Estimate","0.5191"
"Truckee-Grass Valley, CA Micro Area",""
"    Estimate","0.4727"
"Tucson, AZ Metro Area",""
"    Estimate","0.4679"
"Tullahoma-Manchester, TN Micro Area",""
"    Estimate","0.4416"
"Tulsa, OK Metro Area",""
"    Estimate","0.4689"
"Tupelo, MS Micro Area",""
"    Estimate","0.4649"
"Tuscaloosa, AL Metro Area",""
"    Estimate","0.4778"
"Twin Falls, ID Metro Area",""
"    Estimate","0.4466"
"Tyler, TX Metro Area",""
"    Estimate","0.4571"
"Ukiah, CA Micro Area",""
"    Estimate","0.4805"
"Union, SC Micro Area",""
"    Estimate","0.4628"
"Union City, TN Micro Area",""
"    Estimate","0.4670"
"Urbana, OH Micro Area",""
"    Estimate","0.3764"
"Urban Honolulu, HI Metro Area",""
"    Estimate","0.4386"
"Utica-Rome, NY Metro Area",""
"    Estimate","0.4435"
"Uvalde, TX Micro Area",""
"    Estimate","0.5044"
"Valdosta, GA Metro Area",""
"    Estimate","0.4928"
"Vallejo, CA Metro Area",""
"    Estimate","0.4207"
"Van Wert, OH Micro Area",""
"    Estimate","0.3740"
"Vermillion, SD Micro Area",""
"    Estimate","0.4772"
"Vernal, UT Micro Area",""
"    Estimate","0.4184"
"Vernon, TX Micro Area",""
"    Estimate","0.4089"
"Vicksburg, MS Micro Area",""
"    Estimate","0.4743"
"Victoria, TX Metro Area",""
"    Estimate","0.4489"
"Vidalia, GA Micro Area",""
"    Estimate","0.5075"
"Vincennes, IN Micro Area",""
"    Estimate","0.4544"
"Vineland-Bridgeton, NJ Metro Area",""
"    Estimate","0.4985"
"Vineyard Haven, MA Micro Area",""
"    Estimate","0.5380"
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",""
"    Estimate","0.4447"
"Visalia, CA Metro Area",""
"    Estimate","0.4524"
"Wabash, IN Micro Area",""
"    Estimate","0.4054"
"Waco, TX Metro Area",""
"    Estimate","0.4784"
"Wahpeton, ND-MN Micro Area",""
"    Estimate","0.4635"
"Walla Walla, WA Metro Area",""
"    Estimate","0.4582"
"Wapakoneta, OH Micro Area",""
"    Estimate","0.3897"
"Warner Robins, GA Metro Area",""
"    Estimate","0.4236"
"Warren, PA Micro Area",""
"    Estimate","0.4200"
"Warrensburg, MO Micro Area",""
"    Estimate","0.3989"
"Warsaw, IN Micro Area",""
"    Estimate","0.4134"
"Washington, IN Micro Area",""
"    Estimate","0.4162"
"Washington, NC Micro Area",""
"    Estimate","0.4701"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",""
"    Estimate","0.4472"
"Washington Court House, OH Micro Area",""
"    Estimate","0.4405"
"Waterloo-Cedar Falls, IA Metro Area",""
"    Estimate","0.4514"
"Watertown, SD Micro Area",""
"    Estimate","0.4237"
"Watertown-Fort Atkinson, WI Micro Area",""
"    Estimate","0.4015"
"Watertown-Fort Drum, NY Metro Area",""
"    Estimate","0.4316"
"Wauchula, FL Micro Area",""
"    Estimate","0.5160"
"Wausau-Weston, WI Metro Area",""
"    Estimate","0.4242"
"Waycross, GA Micro Area",""
"    Estimate","0.4614"
"Weatherford, OK Micro Area",""
"    Estimate","0.4833"
"Weirton-Steubenville, WV-OH Metro Area",""
"    Estimate","0.4496"
"Wenatchee, WA Metro Area",""
"    Estimate","0.4521"
"West Plains, MO Micro Area",""
"    Estimate","0.4652"
"West Point, MS Micro Area",""
"    Estimate","0.5131"
"Wheeling, WV-OH Metro Area",""
"    Estimate","0.4731"
"Whitewater, WI Micro Area",""
"    Estimate","0.4389"
"Wichita, KS Metro Area",""
"    Estimate","0.4511"
"Wichita Falls, TX Metro Area",""
"    Estimate","0.4554"
"Williamsport, PA Metro Area",""
"    Estimate","0.4308"
"Williston, ND Micro Area",""
"    Estimate","0.4431"
"Willmar, MN Micro Area",""
"    Estimate","0.4175"
"Wilmington, NC Metro Area",""
"    Estimate","0.4764"
"Wilmington, OH Micro Area",""
"    Estimate","0.4379"
"Wilson, NC Micro Area",""
"    Estimate","0.4757"
"Winchester, VA-WV Metro Area",""
"    Estimate","0.4275"
"Winfield, KS Micro Area",""
"    Estimate","0.4581"
"Winnemucca, NV Micro Area",""
"    Estimate","0.4518"
"Winona, MN Micro Area",""
"    Estimate","0.4347"
"Winston-Salem, NC Metro Area",""
"    Estimate","0.4660"
"Wisconsin Rapids-Marshfield, WI Micro Area",""
"    Estimate","0.4442"
"Woodward, OK Micro Area",""
"    Estimate","0.4374"
"Wooster, OH Micro Area",""
"    Estimate","0.4125"
"Worcester, MA-CT Metro Area",""
"    Estimate","0.4530"
"Worthington, MN Micro Area",""
"    Estimate","0.4187"
"Yakima, WA Metro Area",""
"    Estimate","0.4216"
"Yankton, SD Micro Area",""
"    Estimate","0.4272"
"Yauco, PR Metro Area",""
"    Estimate","0.4826"
"York-Hanover, PA Metro Area",""
"    Estimate","0.4168"
"Youngstown-Warren-Boardman, OH-PA Metro Area",""
"    Estimate","0.4582"
"Yuba City, CA Metro Area",""
"    Estimate","0.4524"
"Yuma, AZ Metro Area",""
"    Estimate","0.4574"
"Zanesville, OH Micro Area",""
"    Estimate","0.4588"
"Zapata, TX Micro Area",""
"    Estimate","0.5195"