state,state_code,state_abbreviation,capital,lat_centroid,lon_centroid,neighboring_states,federal_region,census_region,census_division,population_2019,population_2010,percentage_us_population,house_representatives_2019,democrat_1972,democrat_1976,democrat_1980,democrat_1984,democrat_1988,democrat_1992,democrat_1996,democrat_2000,democrat_2004,democrat_2008,democrat_2012,democrat_2016,democrat_state,below poverty,unemployed,per capita income,no high school diploma,ep_age65,ep_age17,ep_disabl,single parent household,minority non-white non-hispanic,speak eng less than well,housing in 10plus units,mobile homes,housing with more ppl than rooms,no vehicle,group quarters,percentile pov,epl_unemp,epl_pci,epl_nohsdp,spl_theme1,socioeconomic theme percentile,epl_age65,epl_age17,epl_disabl,epl_sngpnt,spl_theme2,household composition theme percentile,epl_minrty,epl_limeng,spl_theme3,minority theme percentile,epl_munit,epl_mobile,epl_crowd,epl_noveh,epl_groupq,spl_theme4,household transport percentile,spl_themes,rpl_themes,ep_uninsur,extraversion,agreeableness,conscientiousness,neuroticism,openness,density_2015,population_2015,homicide rate (2017),gdp per capita (2017),high school or higher,bachelor or higher,advanced degree,stress score,work-related stress rank,money-related stress rank,family-related stress rank,health- & safety-related stress rank,political engagement score,fun score,entertainment & recreation rank,nightlife rank,fraud score,identity theft rank,fraud rank,policy rank,financial literacy score,walletliteracy rank,financial planning & habits rank,financial knowledge & education rank,termperature,age-adjusted death rate (suicide),marriage rate,sexual satisfaction,romantic communication,openness to love,gift spend,overall happiness,opm,mdi,diff,employment change (2013),vacancy rate (2013),unemployment rate (2013),median family income (2013),economic health index (2013),income segregation (2013),% 16-19 not in school (2013),rent burden (2013),working poor (2013),economic inclusion index (2013),racial segregation (2013),homeowner gap (2013),education gap (2013),poverty gap (2013),percent person of color (2013),racial inclusion index (2013),overall inclusion index (2013),happiness,gini-coefficient,firearm death rate,cultural tightness,charity score,volunteering & service rank,charitable giving rank,"correctional supervision rate per 100,000 ages 18 or older/b","correctional supervision rate per 100,000 u.s. residents of all ages/b","community supervision rate per 100,000 u.s. residents ages 18 or older","community supervision rate per 100,000 u.s. residents of all ages/b","incarceration rate per 100,000 u.s. residents ages 18 or older","incarceration rate per 100,000 u.s. residents of all ages",health_insurance_Employer,health_insurance_Non-Group,health_insurance_Medicaid,health_insurance_Medicare,health_insurance_Military,health_insurance_Uninsured
Alabama,AL,Ala,Montgomery,32.806671,-86.79113,FL;GA;MS;TN,4,3,6,4903185,4779736,0.0148,7,0,1,0,0,0,0,0,0,0,0,0,0,0,21.39402985,10.1,21232.74627,19.14776119,16.92835821,22.42089552,18.97462687,9.513432836,34.59104478,0.9,3.328358209,21.25522388,1.791044776,7.6,2.52238806,0.726002985,0.731329851,0.712549254,0.746546269,2.916435821,0.767464179,0.470220896,0.491107463,0.711656716,0.621138806,2.294123881,0.675168657,0.689126866,0.438601493,1.127734328,0.576085075,0.415770149,0.754753731,0.416456716,0.590304478,0.436183582,2.613449254,0.535507463,8.951752239,0.717334328,12.35671642,55.5,52.7,55.5,48.7,42.7,37,4858979,8.3,36856,0.853,0.245,0.091,52.19,27,6,10,7,30.56,26.06,44,39,50.22,46,7,5,61.8,44,25,7,62.8,15.7,7.1,0.04,3,2.89,60,610,16.9,21.3,4.4,0.010799089,0.143895471,0.105861865,51687.5,-0.69775,0.15125,5.5875,45.97,4.005,-0.4765,56.34725,20.52,10.465,18.785,60.3475,-0.30125,-0.37925,61,0.4847,21.5,75.45,62.93,47,5,2640,2050,1610,1250,1080,840,0.47,0.05,0.2,0.16,0.02,0.1
Alaska,AK,Alask,Juneau,61.370716,-152.404419,WA,10,4,9,731545,710231,0.0022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.30689655,9.451724138,31052.10345,10.21724138,10.07586207,24.72413793,11.98965517,11.63448276,51.21034483,1.751724138,4.944827586,5.355172414,11.88275862,22.9862069,7.924137931,0.321531035,0.5984,0.256217241,0.307689655,1.483824138,0.347786207,0.096286207,0.614555172,0.230296552,0.704124138,1.645272414,0.338655172,0.819234483,0.534206897,1.353448276,0.701968966,0.565113793,0.235062069,0.915117241,0.803851724,0.732472414,3.251627586,0.827617241,7.73417931,0.536186207,23.37586207,,,,,,0,738432,8.4,67705,0.924,0.29,0.104,49.68,1,48,32,19,49.65,35.37,25,43,44.38,38,39,18,53.11,43,37,51,26.6,25.8,7.1,0.05,3,2.85,43,640,11.1,11.9,0.8,0.211695835,0.060491048,0.066989601,91622,0.825,0.112,3.95,36.61,0.89,0.809,26.189,22.7,11.28,8.91,39.67,0.193,0.467,65.2,0.4081,23.3,38.43,61.37,26,40,2320,1730,1520,1140,800,600,0.48,0.04,0.21,0.09,0.05,0.12
Arizona,AZ,Ariz,Phoenix,33.729759,-111.431221,CA;CO;NM;NV;UT,9,4,8,7278717,6392017,0.0217,9,0,0,0,0,0,0,1,0,0,0,0,0,0,20.92666667,10.99333333,21786.33333,16.79333333,18.95333333,23.8,15.62666667,9.526666667,48.77333333,4.92,4.766666667,21.66,5.8,6.453333333,3.753333333,0.722706667,0.82848,0.658153333,0.64086,2.850226667,0.74884,0.503933333,0.592206667,0.48204,0.639173333,2.217366667,0.642753333,0.840706667,0.866986667,1.707673333,0.892366667,0.53866,0.74336,0.904726667,0.541953333,0.56454,3.293206667,0.825946667,10.06847333,0.855886667,14.25333333,50.6,46.6,58.4,38.1,54.7,23,6828065,5.9,38414,0.865,0.284,0.107,48.49,31,12,4,16,44.09,43.08,11,23,56.35,17,16,41,61.35,15,26,25,60.3,17.7,5.9,0.06,2,2.88,68,634,14.9,14.2,-0.7,0.169757934,0.086200872,0.077522304,67239.375,0.2215,0.12975,4.29,40.78625,3.31375,0.113875,33.010875,19.75375,18.56125,13.235,40.70125,-0.1415,-0.027875,63.5,0.4713,15.2,47.56,56.56,30,50,2570,1970,1590,1220,1030,790,0.44,0.05,0.22,0.16,0.01,0.11
Arkansas,AR,Ark,Little Rock,34.969704,-92.373123,LA;MO;MS;OK;TN;TX,6,3,7,3017825,2915918,0.0091,4,0,1,0,0,0,1,1,0,0,0,0,0,0,21.232,8.189333333,20591.66667,17.516,18.26,22.78266667,20.56,9.197333333,24.07466667,1.109333333,2.916,17.04266667,2.624,7.077333333,3.318666667,0.749401333,0.618353333,0.757701333,0.691670667,2.817118667,0.7449,0.544888,0.529333333,0.799173333,0.584785333,2.458173333,0.755242667,0.544506667,0.424489333,0.968996,0.4847,0.400485333,0.673178667,0.6159,0.565329333,0.446210667,2.701106667,0.580454667,8.945384,0.716748,12.70666667,49.9,52.7,41,56.2,40.3,22,2978204,8.6,36196,0.856,0.22,0.079,56.2,14,4,12,1,42.99,24.89,45,47,43.35,35,45,41,56.4,51,41,14,60.4,18.2,9.9,0.07,1,2.92,93,608,16.4,19.4,3,0.058333334,0.149174705,0.080683708,61635,-0.346,0.177,4.45,41.18,2.92,-0.133,55.195,25.04,10.09,18.58,52.94,-0.463,-0.316,60.9,0.4719,17.8,75.03,63.34,40,11,3150,2410,2250,1720,1050,800,0.42,0.06,0.27,0.16,0.01,0.08
California,CA,Calif,Sacramento,36.116203,-119.681564,AZ;HI;NV;OR,9,4,9,39512223,37254523,0.1196,53,0,0,0,0,0,1,1,1,1,1,1,1,1,16.22931034,9.49137931,29025.7931,16.42068966,15.96551724,22.59310345,14.05172414,9.122413793,44.74827586,6.931034483,8.50862069,7.512068966,5.543103448,6.446551724,3.45862069,0.507655172,0.734603448,0.36867069,0.586948276,2.197884483,0.559913793,0.376825862,0.493481035,0.375634483,0.553675862,1.799605172,0.416751724,0.796751724,0.86892069,1.665667241,0.860739655,0.717008621,0.32265,0.826206897,0.505501724,0.528925862,2.900291379,0.683006897,8.56345,0.650491379,11.51206897,51.4,49,43.2,39.1,65,97,39144818,4.6,57328,0.825,0.326,0.122,42.22,34,14,26,36,44.86,61.57,1,6,64.12,6,17,16,57.98,34,2,49,59.4,10.5,6.5,0.04,5,2.84,82,630,13.3,18.6,5.3,0.220948698,0.050379725,0.10014754,72612.44068,0.371271186,0.095915254,3.369152542,48.25491525,2.876779661,0.182016949,28.90905085,15.93864407,18.65220339,7.603559322,66.9440678,0.453118644,0.332559322,63,0.4899,7.9,27.37,58.53,45,26,1770,1360,1100,850,670,510,0.47,0.07,0.26,0.11,0.01,0.07
Colorado,CO,Colo,Denver,39.059811,-105.311104,AZ;KS;NE;NM;OK;UT;WY,8,4,8,5758736,5029196,0.0172,7,0,0,0,0,0,1,0,0,0,1,1,1,1,14.021875,6.58125,28369.71875,9.6859375,17.290625,20.8546875,13.978125,6.959375,25.1390625,2.26875,7.55625,9.5078125,2.5765625,4.7609375,3.840625,0.381826563,0.429190625,0.376754688,0.297173438,1.484932813,0.35454375,0.450228125,0.385910938,0.381478125,0.327220313,1.544826563,0.315114063,0.602434375,0.643059375,1.245498438,0.640398438,0.575501563,0.409820313,0.5829125,0.323323438,0.4360375,2.327595313,0.43990625,6.6028625,0.387748438,12.8375,45.3,47.5,58.8,34.3,57.9,20,5456574,3.9,52622,0.911,0.394,0.146,38.78,40,32,13,45,58.22,49.71,5,10,59.2,14,14,41,64.3,6,9,16,45.1,20.5,7.4,0.05,5,2.95,65,635,10.3,9.9,-0.4,0.156218981,0.048344044,0.077062504,70390.22222,0.466444444,0.111222222,5.517777778,43.15888889,2.192222222,0.166111111,28.29588889,18.71888889,16.47777778,11.27222222,36.44333333,0.033444444,0.092333333,63.5,0.4586,14.3,42.92,63.32,36,17,2820,2180,2110,1630,740,580,0.52,0.07,0.18,0.12,0.02,0.08
Connecticut,CT,Conn,Hartford,41.597782,-72.755371,MA;NY;RI,1,1,1,3565287,3574097,0.0108,5,0,0,0,0,0,1,1,1,1,1,1,1,1,9.375,7.4125,37998.125,9.0375,15.7875,20.5875,11.15,8.4,23.45,2.6625,9.6375,1.175,1.5125,7.35,4.175,0.13975,0.5741375,0.05885,0.2403875,1.01315,0.2092375,0.35425,0.2792625,0.1478875,0.50175,1.283125,0.1249625,0.5962875,0.7584,1.3547,0.7068375,0.8455125,0.0430875,0.3517,0.6184,0.6964,2.55505,0.523275,6.206025,0.31315,6.225,57.6,38.6,34.2,53.4,53.9,286,3590886,2.8,63747,0.902,0.384,0.17,40.41,8,34,22,47,45.86,26.47,43,40,48.16,29,36,27,60.38,4,24,36,49,10.1,5.6,0.06,5,2.88,45,617,9.6,11.1,1.6,0.126693059,0.118981133,0.141454758,53926.2,-0.6876,0.112,5.98,50.05,2.104,-0.1558,40.4912,23.71,14.482,14.274,68.278,-0.031,-0.0864,61.7,0.4945,4.6,36.37,68.96,14,10,2110,1670,1580,1250,530,420,0.54,0.05,0.21,0.14,0.01,0.05
Delaware,DE,Del,Dover,39.318523,-75.507141,MD;NJ;PA,3,3,5,973764,897934,0.0029,1,0,1,0,0,0,1,1,1,1,1,1,1,1,12.5,7.333333333,29662.66667,12.13333333,17.83333333,21.8,13.06666667,9.433333333,34.23333333,2.033333333,8.766666667,10.86666667,1.866666667,5.966666667,2.5,0.299566667,0.571366667,0.205333333,0.4458,1.522133333,0.361133333,0.4727,0.419733333,0.288533333,0.6342,1.815133333,0.369833333,0.744666667,0.744166667,1.4888,0.792633333,0.827566667,0.456733333,0.481066667,0.501866667,0.555366667,2.822566667,0.650833333,7.648633333,0.525633333,7.766666667,47,38.8,36.5,62.4,42.7,187,945934,5.6,64040,0.893,0.31,0.129,42.36,26,27,20,29,37.39,20.66,48,50,68.34,21,1,50,54.83,31,45,43,55.3,11.5,5.6,0.04,1,2.81,36,614,13.6,13.2,-0.3,,,,,,,,,,,,,,,,,,61.4,0.4522,11,51.02,64.3,11,42,2980,2340,2100,1650,880,690,0.5,0.05,0.21,0.17,0.01,0.06
Washington DC,DC,D.C.,Washington,38.897438,-77.026817,MD;VA,3,3,5,705749,601723,0.0021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17.9,8.7,48781,10,11.4,17.4,11.3,9.3,64.2,2.4,45.7,0,3.6,36.4,6.1,0.6422,0.737,0.006,0.2999,1.6851,0.4117,0.0675,0.0532,0.1445,0.6463,0.9115,0.0325,0.9494,0.8026,1.752,0.9214,0.9987,0,0.8443,0.9962,0.8523,3.6915,0.9688,8.0401,0.5918,5.2,,,,,,,,,159227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.07,0.28,0.08,0.01,0.03
Florida,FL,Fla,Tallahassee,27.766279,-81.686783,AL;GA,4,3,5,21477737,18801310,0.0644,27,0,1,0,0,0,0,1,0,0,1,1,0,0,17.77761194,9.159701493,24164.46269,15.81343284,20.31641791,19.85522388,16.65373134,8.602985075,31.51343284,3.176119403,8.604477612,22.36567164,2.720895522,6.311940299,6.298507463,0.581291045,0.732276119,0.545353731,0.571583582,2.430498508,0.626232836,0.591922388,0.2618,0.5652,0.510301493,1.929226866,0.459513433,0.689064179,0.710343284,1.3994,0.727919403,0.595604478,0.670873134,0.617616418,0.526676119,0.618697015,3.029470149,0.718462687,8.788591045,0.683359702,15.84328358,60.9,50.7,62.7,40.8,61,145,20271272,5,39093,0.876,0.285,0.103,48.87,30,21,2,21,45.5,58.21,2,11,69.11,12,2,27,60.61,24,31,23,70.7,14,8.1,0.05,4,2.85,83,631,14,14.3,0.3,0.269880665,0.102209312,0.102711475,55496.2,-0.123733333,0.1104,5.150666667,51.46866667,3.05,-0.260266667,34.43826667,19.09666667,10.786,11.38066667,55.31733333,0.250133333,0.023266667,63.1,0.4852,12.6,49.28,58.2,43,36,2200,1760,1320,1050,900,720,0.4,0.1,0.18,0.17,0.02,0.13
Georgia,GA,Ga,Atlanta,33.040619,-83.643074,AL;FL;NC;SC;TN,4,3,5,10617423,9687653,0.0318,14,0,1,1,0,0,1,0,0,0,0,0,0,0,21.7345912,9.110062893,21334.98113,19.03333333,15.63836478,23.32515723,16.22389937,10.31383648,37.12641509,1.691823899,2.979245283,22.5081761,2.424528302,7.57672956,4.201257862,0.723825786,0.68812327,0.710519497,0.723258491,2.845732076,0.748058491,0.359593082,0.593578616,0.545579245,0.687395598,2.186144025,0.604957862,0.731590566,0.566947799,1.298531447,0.673371069,0.371718868,0.721834591,0.560992453,0.594936478,0.468940252,2.718420755,0.600816981,9.048835849,0.726625786,16.79874214,63.2,60,68.8,38,56.9,68,10214860,6.7,43913,0.863,0.299,0.114,46.53,16,10,23,22,35.41,38.56,22,26,56.36,23,10,27,59.8,37,32,22,63.5,13.3,6.8,0.05,2,2.91,68,623,14.9,16,1.1,0.170782545,0.148788857,0.11400108,50615.16667,-0.640666667,0.151166667,5.22,48.24,4.058333333,-0.535,44.065,19.91333333,11.89666667,17.73166667,58.43166667,-0.118666667,-0.303833333,62.3,0.4813,15,60.26,69.2,29,2,,,,,1160,880,0.49,0.06,0.17,0.12,0.02,0.14
Hawaii,HI,Hawai,Honolulu,21.094318,-157.498337,CA,9,4,9,1415872,1360301,0.0043,2,0,1,1,0,1,1,1,1,1,1,1,1,1,12.1,4.72,32644.6,8.62,17.86,17.92,12.94,5.98,71.66,4.02,15.22,0.2,6.98,8.14,4.08,0.28024,0.29562,0.16548,0.1996,0.94098,0.19282,0.5171,0.35274,0.28214,0.29112,1.4431,0.1663,0.97014,0.86958,1.83974,0.95086,0.90296,0.007,0.7826,0.55798,0.54678,2.79734,0.61744,7.02114,0.41848,6.42,,,,,,86,1431603,2.7,50320,0.916,0.32,0.108,35.71,21,39,38,49,23.08,38.32,19,36,36.79,48,50,41,55.82,33,22,50,70,12.1,15.6,0.03,2,2.77,102,652,9.5,10.1,0.5,,,,,,,,,,,,,,,,,,58.9,0.442,4.5,36.49,54.92,49,44,2450,1920,1950,1530,500,390,0.55,0.05,0.17,0.15,0.05,0.04
Idaho,ID,Idah,Boise,44.240459,-114.478828,MT;NV;OR;UT;WA;WY,10,4,8,1792065,1567582,0.0053,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16.20227273,6.243181818,22381.13636,12.43636364,17.09772727,25.48409091,15.45909091,7.402272727,16.68863636,2.990909091,3.456818182,12.36818182,3.452272727,3.925,1.915909091,0.50395,0.417611364,0.642456818,0.4146,1.978629546,0.500090909,0.472622727,0.674181818,0.480920455,0.382506818,2.010245455,0.5008,0.457822727,0.589747727,1.047565909,0.528915909,0.431829546,0.527029546,0.692404546,0.216615909,0.346252273,2.214122727,0.367025,7.250552273,0.461977273,15.87727273,40.7,52.9,44.5,44.2,44.7,7,1654930,1.9,35467,0.902,0.268,0.085,39.3,48,11,45,23,38.41,32.05,31,34,45.48,37,43,5,59.01,45,10,26,44.4,21.4,8.1,0.05,4,2.88,111,627,12.8,11.2,-1.6,0.097073443,0.046784639,0.07246352,68840,0.43,0.104,3.92,41.05,1.66,0.558,16.271,21.2,12.49,9.16,16.41,0.124,0.317,62.8,0.4503,14.6,45.5,63.73,21,30,3880,2870,2980,2210,900,670,0.47,0.09,0.17,0.15,0.02,0.11
Illinois,IL,Ill,Springfield,40.349457,-88.986137,IA;IN;KY;MO;WI,5,2,3,12671821,12830632,0.0385,18,0,0,0,0,0,1,1,1,1,1,1,1,1,14.13235294,7.325490196,26170.39216,11.15,17.78431373,21.90784314,14.61764706,8.360784314,12.74803922,0.934313726,4.399019608,8.117647059,1.523529412,6.242156863,4.082352941,0.397487255,0.53735,0.405331373,0.370387255,1.710561765,0.41939902,0.542076471,0.432102941,0.415929412,0.491020588,1.881135294,0.431443137,0.340109804,0.388959804,0.729065686,0.349630392,0.522423529,0.347715686,0.346463726,0.49715098,0.526066667,2.239819608,0.397428431,6.560588235,0.364836275,7.592156863,62.5,48.3,50.9,51.2,55.2,89,12859995,7.8,53432,0.886,0.334,0.13,43.35,9,22,29,34,48.36,47.39,12,3,59.39,5,40,18,62.97,13,30,11,51.8,10.7,5.4,0.04,4,2.87,55,616,12.6,20.5,7.9,0.140548281,0.086080501,0.098182457,70988,0.082375,0.133875,5.6875,42.21375,2.79625,-0.0425,39.685875,25.7925,18.57125,14.88375,47.85125,-0.393875,-0.23775,61.7,0.481,11.7,45.95,62.99,37,16,2070,1600,1450,1120,620,480,0.54,0.06,0.19,0.13,0.01,0.07
Indiana,IN,Ind,Indianapolis,39.849426,-86.258278,IL;KY;MI;OH,5,2,3,6732219,6483802,0.0202,9,0,0,0,0,0,0,0,0,0,1,0,0,0,13.54891304,6.306521739,24787.68478,12.67282609,16.14782609,23.42173913,14.89456522,8.570652174,9.011956522,0.808695652,4.263043478,8.145652174,1.729347826,5.826086957,2.74673913,0.36963913,0.428445652,0.492192391,0.457303261,1.74758587,0.431795652,0.397544565,0.589195652,0.449886957,0.519288044,1.955904348,0.467083696,0.263927174,0.399672826,0.663594565,0.31173913,0.550967391,0.353929348,0.411281522,0.426038044,0.440247826,2.182459783,0.366870652,6.549541304,0.3605,11.36847826,48.9,50.2,56.2,59.3,44.9,71,6619680,6,44797,0.883,0.253,0.092,45.72,33,19,16,13,31.25,29.25,39,28,42.35,47,24,27,59,17,43,33,51.7,15.4,6.9,0.06,2,2.96,80,605,13.5,15.4,1.9,-0.050170578,0.148882596,0.113972602,45388.66667,-0.9375,0.112,7.79,45.34166667,4.045,-0.476833333,47.22233333,26.49333333,9.66,16.91666667,48.16666667,-0.363666667,-0.414166667,60.5,0.4527,15,54.57,60.5,28,43,3150,2400,2300,1760,850,650,0.54,0.05,0.18,0.15,0.01,0.08
