state,state_code,state_abbreviation,capital,lat_centroid,lon_centroid,neighboring_states,federal_region,census_region,census_division,population_2019,population_2010,percentage_us_population,house_representatives_2019,democrat_1972,democrat_1976,democrat_1980,democrat_1984,democrat_1988,democrat_1992,democrat_1996,democrat_2000,democrat_2004,democrat_2008,democrat_2012,democrat_2016,democrat_state,below poverty,unemployed,per capita income,no high school diploma,ep_age65,ep_age17,ep_disabl,single parent household,minority non-white non-hispanic,speak eng less than well,housing in 10plus units,mobile homes,housing with more ppl than rooms,no vehicle,group quarters,percentile pov,epl_unemp,epl_pci,epl_nohsdp,spl_theme1,socioeconomic theme percentile,epl_age65,epl_age17,epl_disabl,epl_sngpnt,spl_theme2,household composition theme percentile,epl_minrty,epl_limeng,spl_theme3,minority theme percentile,epl_munit,epl_mobile,epl_crowd,epl_noveh,epl_groupq,spl_theme4,household transport percentile,spl_themes,rpl_themes,ep_uninsur,extraversion,agreeableness,conscientiousness,neuroticism,openness,density_2015,population_2015,homicide rate (2017),gdp per capita (2017),high school or higher,bachelor or higher,advanced degree,stress score,work-related stress rank,money-related stress rank,family-related stress rank,health- & safety-related stress rank,political engagement score,fun score,entertainment & recreation rank,nightlife rank,fraud score,identity theft rank,fraud rank,policy rank,financial literacy score,walletliteracy rank,financial planning & habits rank,financial knowledge & education rank,termperature,age-adjusted death rate (suicide),marriage rate,sexual satisfaction,romantic communication,openness to love,gift spend,overall happiness,opm,mdi,diff,employment change (2013),vacancy rate (2013),unemployment rate (2013),median family income (2013),economic health index (2013),income segregation (2013),% 16-19 not in school (2013),rent burden (2013),working poor (2013),economic inclusion index (2013),racial segregation (2013),homeowner gap (2013),education gap (2013),poverty gap (2013),percent person of color (2013),racial inclusion index (2013),overall inclusion index (2013),happiness,gini-coefficient,firearm death rate,cultural tightness,charity score,volunteering & service rank,charitable giving rank,"correctional supervision rate per 100,000 ages 18 or older/b","correctional supervision rate per 100,000 u.s. residents of all ages/b","community supervision rate per 100,000 u.s. residents ages 18 or older","community supervision rate per 100,000 u.s. residents of all ages/b","incarceration rate per 100,000 u.s. residents ages 18 or older","incarceration rate per 100,000 u.s. residents of all ages",health_insurance_Employer,health_insurance_Non-Group,health_insurance_Medicaid,health_insurance_Medicare,health_insurance_Military,health_insurance_Uninsured
North Carolina,NC,N.C.,Raleigh,35.630066,-79.806419,GA;SC;TN;VA,4,3,5,10488084,9535483,0.0314,13,0,1,0,0,0,0,0,0,0,1,0,0,0,18.989,9.334,23173.85,16.696,17.967,21.479,16.91,9.223,31.656,1.857,3.574,20.146,2.338,6.819,3.046,0.647675,0.732256,0.601621,0.647529,2.629078,0.688089,0.527228,0.398864,0.593815,0.575077,2.094981,0.557015,0.665526,0.665768,1.331301,0.69231,0.427188,0.726881,0.591655,0.566421,0.491803,2.80395,0.635089,8.859302,0.696902,14.245,51,63.6,68.4,44.8,49.6,79,10042802,5.8,44096,0.869,0.299,0.106,45.89,18,25,15,17,47.5,40.17,17,24,56.16,31,6,27,61.5,20,39,15,59,13,7,0.05,3,2.84,59,624,14.7,13.9,-0.8,0.338369142,0.098303867,0.097755353,58169.875,0.043375,0.154875,4.4325,42.25,3.32125,-0.11,44.312625,24.84625,14.70375,18.11125,51.84375,-0.404625,-0.27375,62.5,0.478,13.7,60.67,63.09,35,20,1890,1460,1210,930,680,530,0.47,0.06,0.18,0.15,0.03,0.11
North Dakota,ND,N.D.,Bismarck,47.528912,-99.784012,MN;MT;SD,8,2,4,762062,672591,0.0023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.09245283,2.771698113,32847.64151,10.25283019,19.71886792,22.4509434,11.99433962,6.343396226,12.02264151,0.343396226,6.094339623,9.277358491,1.790566038,4.052830189,2.845283019,0.208220755,0.084362264,0.139711321,0.315271698,0.747571698,0.136913208,0.628188679,0.438626415,0.218996226,0.243586793,1.529401887,0.225796226,0.295724528,0.236388679,0.532118868,0.236835849,0.553003774,0.407124528,0.317092453,0.240056604,0.543141509,2.060409434,0.331496226,4.869501887,0.148792453,9.10754717,52.4,52.4,51.4,49.6,21.8,4,756927,1.3,67305,0.923,0.289,0.078,32.67,11,49,50,37,47.1,29.1,37,31,61.64,4,37,5,63.68,32,5,10,40.4,19,6,0.06,2,3.05,108,628,10.3,9,-1.3,0.266494781,0.056094363,0.038087696,69709,0.831,0.093,3.15,34.23,2,0.928,26.568,25.05,11.18,20.46,13.13,-0.495,0.137,63,0.4533,11.9,51.44,65.28,10,39,1770,1350,1230,940,540,410,0.57,0.08,0.12,0.13,0.02,0.08
Ohio,OH,Ohi,Columbus,40.388783,-82.764915,IN;KY;MI;PA;WV,5,2,3,11689100,11536504,0.0353,16,0,1,0,0,0,1,1,0,0,1,1,0,0,14.93295455,6.955681818,25190.28409,11.82727273,16.57045455,22.93977273,15.05,8.832954546,9.546590909,0.543181818,4.5875,8.386363636,1.389772727,6.997727273,2.947727273,0.445903409,0.505778409,0.470851136,0.396732955,1.819279546,0.452577273,0.432184091,0.550956818,0.452052273,0.562782955,1.997960227,0.500381818,0.285236364,0.352630682,0.637868182,0.293252273,0.576588636,0.351163636,0.307173864,0.583310227,0.491414773,2.309654546,0.412206818,6.764757955,0.393798864,8.969318182,54.6,45.9,46.5,58.5,46,109,11614373,6.1,46826,0.898,0.272,0.102,45.16,13,26,21,20,40.53,43.93,18,8,61.44,3,41,41,61.59,26,23,17,50.7,14.2,6,0.05,3,2.95,41,609,14,15.2,1.2,-0.118263343,0.159821988,0.132447047,42689.33333,-1.249333333,0.113111111,4.488888889,45.93333333,3.974444444,-0.124666667,45.98044444,24.94222222,7.398888889,17.85555556,43.17444444,-0.322222222,-0.234444444,61,0.468,12.9,52.3,65.7,18,25,3620,2810,2840,2200,790,610,0.52,0.05,0.21,0.15,0.01,0.06
Oklahoma,OK,Okla,Oklahoma City,35.565342,-96.928917,AR;CO;KS;MO;NM;TX,6,3,7,3956971,3751351,0.0119,5,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14545455,6.02987013,23327.68831,14.53376623,17.0961039,24.04935065,17.88441558,8.981818182,28.71168831,1.409090909,2.636363636,14.4012987,2.67012987,5.263636364,3.58961039,0.56034026,0.405455844,0.575018182,0.55837013,2.09918961,0.535396104,0.481611688,0.687557143,0.634596104,0.576032468,2.379783117,0.716750649,0.674398701,0.517274026,1.191668831,0.61178961,0.363661039,0.584537662,0.635162338,0.400063636,0.527920779,2.511338961,0.509233766,8.181993507,0.608998701,16.37532468,39.7,54.3,54.7,52.1,42.2,22,3911338,6.2,45864,0.875,0.248,0.083,49.48,22,17,17,6,34.62,37.36,27,21,55.09,15,44,5,55.45,41,46,34,59.6,21,6.7,0.06,5,2.87,42,605,15.8,14.2,-1.6,0.141043992,0.109279695,0.060771229,60624.33333,0.103333333,0.141,6.38,40.79,3.22,-0.172,30.636,20.69333333,13.32333333,13.84333333,37.76666667,-0.046,-0.102333333,60.8,0.4645,19.6,75.03,69.11,5,19,2510,1890,1190,900,1310,990,0.46,0.06,0.18,0.15,0.02,0.14
Oregon,OR,Ore,Salem,44.572021,-122.070938,CA;ID;NV;WA,10,4,9,4217737,3831074,0.0127,5,0,0,0,0,1,1,1,1,1,1,1,1,1,16.60277778,8.830555556,25212.63889,11.35555556,20.17777778,20.91944444,17.925,7.833333333,18.66111111,2.230555556,6.041666667,14.46388889,2.975,6.219444444,2.711111111,0.549683333,0.700244444,0.465619444,0.369069444,2.084633333,0.533627778,0.631383333,0.368036111,0.647008333,0.424780556,2.0712,0.567436111,0.516355556,0.62235,1.138705556,0.580047222,0.664880556,0.587436111,0.6819,0.520622222,0.479630556,2.934469444,0.685469444,8.229019444,0.609786111,11.17222222,30.9,59.1,45.8,39.5,58.8,16,4028977,2.5,49792,0.902,0.323,0.122,45.46,46,13,9,15,51.73,47.62,7,14,57.06,33,4,18,59.79,25,33,29,48.4,17.8,6.9,0.05,5,2.85,40,625,13.2,13,-0.3,0.11980474,0.050829487,0.097694488,61025.75,0.126,0.091,4.7375,48.2225,2.59,0.10375,25.815,20.74,22.1825,13.5425,28.5175,-0.277,-0.10775,62.5,0.4583,11.9,30.07,67.53,12,21,2520,1990,1890,1490,640,500,0.48,0.07,0.22,0.16,0.01,0.07
Pennsylvania,PA,Pa,Harrisburg,40.590752,-77.209755,DE;MD;NJ;NY;OH;WV,3,1,2,12801989,12702379,0.0387,18,0,1,0,0,0,1,1,1,1,1,1,0,1,12.95223881,6.634328358,26685.95522,11.18955224,18.44626866,20.1358209,15.38059701,7.704477612,11.49850746,1.004477612,4.882089552,8.01641791,1.21641791,8.167164179,4.726865672,0.330323881,0.463674627,0.386595522,0.376508955,1.557108955,0.372719403,0.596197015,0.268104478,0.475855224,0.399919403,1.740077612,0.339058209,0.315759702,0.465602985,0.781359702,0.375919403,0.604550746,0.353904478,0.252610448,0.698928358,0.622297015,2.532291045,0.514268657,6.610847761,0.360086567,8.211940299,54.6,42.8,52.4,61.4,49.6,110,12802503,5.8,50418,0.899,0.301,0.118,42.81,15,28,28,27,39.36,47.91,9,7,55.63,24,23,1,58.04,9,27,46,48.8,14.7,5.8,0.05,1,2.83,60,621,12.5,14.8,2.3,0.031283049,0.117435417,0.110045403,47165.8,-0.6236,0.1144,4.944,46.8,2.948,-0.0552,42.3716,25.906,13.596,21.048,42.89,-0.5548,-0.333,62.3,0.4689,12,52.75,63.46,24,28,3640,2880,2880,2280,810,640,0.52,0.05,0.2,0.16,0.01,0.06
Rhode Island,RI,R.I,Providence,41.680893,-71.51178,CT;MA,1,1,1,1059361,1052567,0.0032,2,0,1,1,0,1,1,1,1,1,1,1,1,1,10.34,6.78,36781.6,9.68,17.54,19.28,12.6,7.82,15.22,2.24,9.18,1.28,1.08,7.62,4.38,0.19268,0.48964,0.07658,0.26544,1.0244,0.21796,0.52816,0.15384,0.24686,0.38544,1.31428,0.11856,0.43444,0.64228,1.07672,0.5402,0.8284,0.04652,0.2084,0.64566,0.68118,2.41018,0.44386,5.82558,0.25776,6.6,43.3,35.2,48.5,61.9,59.4,394,1056298,1.9,47118,0.873,0.33,0.131,43.54,45,15,11,30,41.06,23.39,47,35,49.86,28,47,4,56.15,39,21,46,50.1,11.2,6.7,0.06,3,2.96,52,613,11.6,13,1.4,0.145939335,0.128798529,0.126973867,44342,-0.741,0.145,4.59,44.84,3.84,-0.257,46.892,16.27,20.56,15.36,64.08,-0.152,-0.198,61.4,0.4781,4.1,43.23,55.15,50,31,2850,2290,2730,2200,370,290,0.52,0.05,0.23,0.14,0.01,0.04
South Carolina,SC,S.C.,Columbia,33.856892,-80.945007,GA;NC,4,3,5,5148714,4625364,0.0154,7,0,1,0,0,0,0,0,0,0,0,0,0,0,20.46304348,9.867391304,22105.91304,17.6326087,17.09782609,22.06521739,17.17173913,10.35217391,42.88913043,1.217391304,4.156521739,24.03478261,1.897826087,8.136956522,3.530434783,0.711028261,0.773154348,0.654421739,0.687284783,2.82588913,0.741569565,0.457215217,0.463097826,0.601252174,0.742615217,2.264173913,0.6644,0.801108696,0.540804348,1.341917391,0.702034783,0.476773913,0.802104348,0.475619565,0.687826087,0.537404348,2.979719565,0.701684783,9.411702174,0.77305,13.80434783,60,55.4,69.6,45.7,55.3,62,4896146,7.8,36796,0.865,0.27,0.098,46.84,36,18,19,8,34.57,41.35,14,29,57.83,22,9,41,59.49,38,42,21,62.4,15.7,6.6,0.05,2,2.99,82,623,15.4,14.6,-0.8,0.319390588,0.117852349,0.087043524,66834,0.117,0.1375,1.175,45.72,3.355,0.215,54.4695,25.035,14.4,19.375,40.695,-0.703,-0.295,62.3,0.4735,17.7,61.39,65.1,32,14,1770,1380,940,740,820,640,0.45,0.06,0.19,0.16,0.02,0.1
South Dakota,SD,S.D.,Pierre,44.299782,-99.438828,IA;MN;MT;ND;NE;WY,8,2,4,884659,814180,0.0027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,5.221212121,26209.37879,10.71515152,18.28787879,24.91818182,13.29090909,8.387878788,19.67878788,0.574242424,4.739393939,11.56818182,3.048484849,5.078787879,3.965151515,0.396269697,0.219510606,0.379871212,0.331081818,1.326733333,0.301059091,0.563125758,0.627377273,0.318465152,0.408375758,1.917334849,0.454977273,0.408083333,0.300875758,0.708948485,0.336680303,0.540290909,0.474630303,0.379834849,0.326483333,0.576230303,2.297472727,0.420969697,6.250498485,0.322645455,12.05909091,58.7,56.7,55.8,36.1,41.9,4,858469,2.9,47706,0.914,0.278,0.083,33.18,20,47,49,42,34.37,32.83,35,18,37.85,51,26,18,56.06,36,34,44,45.2,20.2,7.2,0.04,5,2.99,36,637,13,10.8,-2.2,0.30058977,0.056334596,0.045247197,68785,0.795,0.115,4.19,31.84,2.25,0.741,33.655,32.73,25.39,23.49,16.79,-1.236,-0.358,64,0.4495,13.4,51.14,69.35,1,37,2290,1720,1420,1070,880,670,0.52,0.08,0.13,0.15,0.02,0.09
Tennessee,TN,Tenn,Nashville,35.747845,-86.692345,AL;AR;GA;KY;MO;MS;NC;VA,4,3,6,6833174,6346105,0.0205,9,0,1,0,0,0,1,1,0,0,0,0,0,0,19.04736842,8.448421053,22171.14737,18.03368421,17.83894737,21.86315789,19.10842105,8.505263158,13.35894737,0.750526316,2.891578947,16.98,2.028421053,5.964210526,2.909473684,0.662144211,0.65758,0.662862105,0.708214737,2.690796842,0.708214737,0.538924211,0.427325263,0.724398947,0.499593684,2.190227368,0.615601053,0.372948421,0.397154737,0.770102105,0.368894737,0.391471579,0.654167368,0.507172632,0.473105263,0.442101053,2.468037895,0.477330526,8.11917579,0.604977895,11.98421053,51.3,66.6,62,49,50.1,61,6600299,7.8,42797,0.865,0.261,0.096,47.76,37,7,25,12,31.26,39.78,26,16,56.85,26,8,27,60.67,50,40,3,57.6,16.3,8.6,0.05,3,2.92,73,615,15,16.4,1.4,0.236130418,0.105822665,0.09162711,53610.5,-0.1175,0.133333333,4.03,42.28166667,3.373333333,0.053833333,45.70816667,21.385,10.15166667,15.90166667,42.69,-0.232166667,-0.105333333,61.6,0.479,17.1,68.81,64.32,23,23,2310,1790,1440,1120,930,720,0.47,0.06,0.21,0.15,0.02,0.1
Texas,TX,Tex,Austin,31.054487,-97.563461,AR;LA;NM;OK,6,3,7,28995881,25145561,0.0868,36,0,1,0,0,0,0,0,0,0,0,0,0,0,16.77283465,6.346850394,24076.55906,20.53031496,17.04330709,24.39173228,16.16377953,8.850787402,42.84173228,5.494094488,3.483464567,15.52519685,4.090944882,5.32519685,4.378346457,0.531277165,0.420452756,0.537696063,0.73845,2.227874016,0.572524409,0.443025197,0.651662205,0.522181496,0.539735827,2.156604331,0.588322047,0.775502756,0.825137795,1.600647638,0.83242126,0.397508268,0.607286614,0.750587795,0.395347638,0.478376772,2.629105512,0.558764173,8.614227953,0.666501575,19.37401575,55.2,52.3,54.4,44.3,52.7,40,27469114,5,54421,0.828,0.287,0.099,43.91,17,33,24,14,34.51,47.51,10,9,57.72,18,12,27,60.42,40,36,12,64.8,12.6,7.1,0.04,4,2.88,78,631,14.7,18.2,3.5,0.328649153,0.083497451,0.072112197,59594.10714,0.336107143,0.126107143,4.9,40.70107143,4.843928571,-0.172428571,34.48228571,14.55214286,21.375,13.1325,62.785,0.122392857,-0.008642857,63.2,0.48,12.1,67.54,57.37,34,48,3290,2430,2330,1720,1050,780,0.47,0.06,0.17,0.1,0.02,0.18
Utah,UT,Uta,Salt Lake City,40.150032,-111.862434,AZ;CO;ID;NM;NV;WY,8,4,8,3205958,2763885,0.0096,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12.67931034,5.327586207,23353.7931,8.644827586,13.66206897,29.93793103,11.74827586,6.44137931,14.39310345,1.568965517,4.420689655,9.255172414,3.179310345,3.220689655,2.417241379,0.32102069,0.314262069,0.611648276,0.224713793,1.471641379,0.346137931,0.255224138,0.899765517,0.221141379,0.288989655,1.665110345,0.291462069,0.431317241,0.63097931,1.062310345,0.535155172,0.480865517,0.375417241,0.720634483,0.14317931,0.364934483,2.085024138,0.317872414,6.284068966,0.31772069,13.62068966,55.8,69.4,54.5,30.4,47.7,14,2995919,2.4,44204,0.918,0.325,0.11,31.69,49,37,48,35,61.47,34.96,23,48,45.49,36,30,27,67.97,46,3,1,48.6,21.8,9,0.04,5,2.77,73,628,9.7,8.3,-1.4,0.273300849,0.050856284,0.063220819,61050.33333,0.552,0.123333333,3.156666667,41.71333333,3.576666667,0.200666667,29.259,15.79666667,22.81666667,11.28333333,28.53666667,-0.137,0.013,62.9,0.4063,12.9,49.69,76.9,7,1,1180,820,740,520,540,380,0.61,0.09,0.1,0.1,0.01,0.09
Vermont,VT,Vt,Montpelier,44.045876,-72.710686,MA;NH;NY,1,1,1,623989,625741,0.0019,1,0,0,0,0,0,1,1,1,1,1,1,1,1,11.73571429,5.242857143,29297.64286,8.978571429,18.07142857,19.53571429,14.99285714,8.107142857,5.614285714,0.407142857,3.878571429,8.092857143,1.735714286,6.178571429,3.207142857,0.258807143,0.288607143,0.234585714,0.228192857,1.010207143,0.209071429,0.560307143,0.182864286,0.454057143,0.454607143,1.651828571,0.307885714,0.178678571,0.2998,0.478485714,0.200607143,0.536671429,0.370535714,0.411607143,0.534542857,0.578335714,2.431685714,0.485557143,5.572221429,0.210692857,5.657142857,26.5,60,38.2,55.8,54.2,26,626042,2.2,43495,0.923,0.368,0.15,39.36,44,8,41,43,45.93,23.5,46,37,38.86,50,34,27,60.15,18,35,30,42.9,17.3,8.3,0.04,4,2.77,36,635,11.3,10.9,-0.4,,,,,,,,,,,,,,,,,,63.6,0.4539,11.1,37.23,61.9,19,46,1450,1180,1150,940,340,280,0.49,0.06,0.23,0.16,0.01,0.04
Virginia,VA,Va,Richmond,37.769337,-78.169968,DC;KY;MD;NC;TN;WV,3,3,5,8535519,8001024,0.0258,11,0,0,0,0,0,0,0,0,0,1,1,1,1,14.79398496,6.619548872,27781.3985,14.82481203,17.64135338,20.45112782,14.7887218,8.437593985,28.02781955,1.292481203,7.120300752,9.656390977,1.647368421,7.032330827,4.441353384,0.423811278,0.448230075,0.406806015,0.548094737,1.826939098,0.454005263,0.513476692,0.320098496,0.435649624,0.476690977,1.74591579,0.365157895,0.603054135,0.470456391,1.073514286,0.543738346,0.566223308,0.380906767,0.366789474,0.534402256,0.485033083,2.333354135,0.439227068,6.97972782,0.429827068,11.50827068,48.5,47.4,45.3,44.7,57.1,81,8382993,5.3,51716,0.89,0.376,0.161,40.02,24,38,14,40,55.48,33.83,28,45,55.28,25,11,18,68.03,28,7,2,55.1,13.2,7,0.04,4,2.88,87,626,10.6,11,0.4,0.098812545,0.092428333,0.08637109,65729.22222,0.024555556,0.129222222,3.692222222,43.92111111,2.408888889,0.202888889,41.77077778,22.73555556,9.891111111,12.62111111,50.62333333,-0.023111111,0.077222222,62.7,0.4705,12.1,57.37,69.66,16,7,1830,1420,950,740,880,680,0.54,0.06,0.12,0.14,0.04,0.09
Washington,WA,Wash,Olympia,47.400902,-121.490494,AK;ID;OR,10,4,9,7614893,6724540,0.0228,10,0,0,0,0,1,1,1,1,1,1,1,1,1,15.64871795,7.58974359,26547.92308,11.64358974,18.64615385,21.99230769,16.42051282,8.117948718,23.2025641,3.448717949,6.748717949,13.03846154,3.356410256,5.635897436,2.358974359,0.477671795,0.583025641,0.407579487,0.358084615,1.826374359,0.454282051,0.539179487,0.420669231,0.531366667,0.444830769,1.936064103,0.493753846,0.578633333,0.7025,1.281125641,0.659917949,0.655138462,0.541138462,0.651820513,0.442561539,0.421689744,2.71234359,0.599666667,7.755905128,0.540276923,11.1,30.6,55.8,45,36.9,56.6,41,7170351,3.1,55780,0.908,0.345,0.127,39.54,32,30,36,24,58.6,51.12,4,13,49.32,27,38,18,61.45,21,14,28,48.3,14.9,6.2,0.06,5,2.87,70,625,11,11.1,0.1,0.143784874,0.063659507,0.08305254,74533.66667,0.378333333,0.088333333,4.468333333,39.76333333,1.57,0.654166667,24.6815,17.91166667,11.78166667,8.943333333,33.05833333,0.271333333,0.441333333,62.6,0.4591,9,31.06,70.51,6,12,2230,1730,1760,1370,530,410,0.52,0.06,0.21,0.13,0.02,0.07
West Virginia,WV,W.Va,Charleston,38.491226,-80.954453,KY;MD;OH;PA;VA,3,3,5,1787147,1852994,0.0055,3,0,1,1,0,1,1,1,0,0,0,0,0,0,18.37454545,8.354545455,22165.03636,16.76,18.90181818,20.24,20.91272727,7.318181818,5.465454546,0.292727273,2.992727273,17.80363636,1.32,8.6,2.827272727,0.621392727,0.629503636,0.658541818,0.642234546,2.551665455,0.666963636,0.636638182,0.253016364,0.782734546,0.359463636,2.031850909,0.525750909,0.151323636,0.216472727,0.367790909,0.15384,0.411478182,0.686056364,0.285961818,0.746463636,0.422778182,2.552736364,0.515834546,7.504050909,0.502389091,10.08181818,38.5,51.8,42.6,79.2,36.8,29,1844128,4.7,36453,0.859,0.199,0.079,54.68,12,2,31,2,32.57,14.41,50,46,62.1,8,29,5,57.8,8,50,31,51.8,19.3,6.4,0.05,3,2.85,39,589,19.1,17.4,-1.7,,,,,,,,,,,,,,,,,,60.5,0.4711,17.5,52.48,61.02,15,49,1380,1100,690,550,690,550,0.44,0.03,0.26,0.19,0.01,0.06
Wisconsin,WI,Wis,Madison,44.268543,-89.616508,IA;IL;MI;MN,5,2,3,5822434,5686986,0.0176,8,0,1,0,0,1,1,1,1,1,1,1,0,1,12.18888889,5.398611111,27172.34722,8.944444444,18.34861111,21.64027778,13.09305556,7.761111111,10.47638889,0.825,5.629166667,6.4625,1.663888889,5.573611111,2.531944444,0.284265278,0.315944444,0.338109722,0.234755556,1.173075,0.259323611,0.543634722,0.4099125,0.2993375,0.388851389,1.641736111,0.290368056,0.299452778,0.465563889,0.765016667,0.363526389,0.649126389,0.284029167,0.373451389,0.420480556,0.480081944,2.207175,0.372020833,5.787005556,0.249583333,8.051388889,69.8,57.8,47.6,48.6,35.7,41,5771337,3.2,46859,0.917,0.29,0.099,35.49,35,43,33,41,54.86,40.31,30,2,41.25,43,33,27,60.97,3,12,40,43.1,14.7,5.6,0.05,2,2.76,64,623,11.3,10.4,-0.9,0.048142451,0.066705924,0.081213512,57911.66667,0.050333333,0.107333333,3.02,44.22,3.18,0.27,39.017,28.19333333,19.09,18.00333333,38.97333333,-0.647,-0.239666667,62.4,0.4498,11.4,46.91,71.13,2,18,2230,1740,1440,1120,790,620,0.57,0.05,0.17,0.15,0.01,0.06
Wyoming,WY,Wyo,Cheyenne,42.755966,-107.30249,CO;ID;MT;NE;SD;UT,8,4,8,578759,563626,0.0017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.69130435,4.526086957,29585.13043,7.97826087,15.92608696,23.27391304,13.55217391,7.434782609,13.06521739,0.852173913,4.365217391,14.7,1.926086957,3.552173913,2.852173913,0.264430435,0.2312,0.228665217,0.179565217,0.903856522,0.182656522,0.4161,0.563595652,0.347573913,0.378730435,1.705982609,0.355743478,0.411295652,0.438447826,0.849743478,0.415856522,0.558095652,0.604378261,0.467626087,0.178391304,0.490234783,2.298721739,0.419895652,5.758295652,0.248421739,13.12173913,46,40.7,42.4,46.1,42.4,2,586107,2.6,60908,0.928,0.267,0.093,40.3,3,44,44,32,58.26,33.23,29,42,42.78,44,32,5,58.78,19,17,42,42,25.2,7.1,0.04,2,2.89,36,630,11.3,8.9,-2.4,,,,,,,,,,,,,,,,,,63.1,0.436,17.4,51.94,71.23,8,8,2100,1600,1230,940,870,660,0.55,0.07,0.1,0.15,0.02,0.11
